workerCounter,assignmentId,workerId,hitId,trial type,set,global index,reaction time,response1,response2,responseLoc1,responseLoc2,stimulus1,stimulus2,stimulus3
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,1,,6,7438,2kFemale/F19,2kFemale/F18,1,0,2kFemale/F18,2kFemale/F19,2kFemale/F16
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,1,,12,7432,2kFemale/F10,2kFemale/F10,http://52.23.229.132/2kFemale/F10.jpg,http://52.23.229.132/2kFemale/F10.jpg,http://52.23.229.132/2kFemale/F10.jpg,http://52.23.229.132/2kFemale/F10.jpg,http://52.23.229.132/2kFemale/F10.jpg,http://52.23.229.132/2kFemale/F10.jpg,http://52.23.229.132/2kFemale/F10.jpg,http://52.23.229.132/2kFemale/F17.jpg,1,2,2kFemale/F18,2kFemale/F10,2kFemale/F17
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,1,,13,6170,2kFemale/F12,2kFemale/F20,1,2,2kFemale/F16,2kFemale/F12,2kFemale/F20
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,15,3591,2kFemale/F716,2kFemale/F243,1,2,2kFemale/F214,2kFemale/F716,2kFemale/F243
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,16,5396,2kFemale/F524,2kFemale/F874,0,1,2kFemale/F524,2kFemale/F874,2kFemale/F272
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,17,5349,2kFemale/F248,2kFemale/F762,0,1,2kFemale/F248,2kFemale/F762,2kFemale/F411
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,18,5977,2kFemale/F657,2kFemale/F712,1,2,2kFemale/F624,2kFemale/F657,2kFemale/F712
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,19,2542,2kFemale/F524,2kFemale/F553,1,0,2kFemale/F553,2kFemale/F524,2kFemale/F138
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,20,3033,2kFemale/F124,2kFemale/F447,0,2,2kFemale/F124,2kFemale/F542,2kFemale/F447
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,21,2357,2kFemale/F352,2kFemale/F743,0,2,2kFemale/F352,2kFemale/F106,2kFemale/F743
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,22,2550,2kFemale/F676,2kFemale/F616,1,0,2kFemale/F616,2kFemale/F676,2kFemale/F718
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,23,3125,2kFemale/F861,2kFemale/F900,0,1,2kFemale/F861,2kFemale/F900,2kFemale/F467
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,3,,24,1711,2kFemale/F868,2kFemale/F868,true,true,2kFemale/F868,2kFemale/F868,2kFemale/F174
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,25,2065,2kFemale/F542,2kFemale/F73,0,1,2kFemale/F542,2kFemale/F73,2kFemale/F52
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,26,1549,2kFemale/F828,2kFemale/F81,0,1,2kFemale/F828,2kFemale/F81,2kFemale/F381
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,27,3303,2kFemale/F334,2kFemale/F187,1,2,2kFemale/F886,2kFemale/F334,2kFemale/F187
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,28,1823,2kFemale/F179,2kFemale/F467,0,1,2kFemale/F179,2kFemale/F467,2kFemale/F424
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,29,3737,2kFemale/F155,2kFemale/F155,http://52.23.229.132/2kFemale/F114.jpg,0,1,2kFemale/F155,2kFemale/F114,2kFemale/F474
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,30,2926,2kFemale/F548,2kFemale/F912,1,0,2kFemale/F912,2kFemale/F548,2kFemale/F57
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,31,2431,2kFemale/F521,2kFemale/F915,1,0,2kFemale/F915,2kFemale/F521,2kFemale/F132
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,32,2562,2kFemale/F364,2kFemale/F364,http://52.23.229.132/2kFemale/F729.jpg,0,1,2kFemale/F364,2kFemale/F729,2kFemale/F757
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,33,1013,2kFemale/F336,2kFemale/F557,0,2,2kFemale/F336,2kFemale/F791,2kFemale/F557
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,34,613,2kFemale/F757,2kFemale/F297,0,1,2kFemale/F757,2kFemale/F297,2kFemale/F503
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,35,881,2kFemale/F15,2kFemale/F41,0,1,2kFemale/F15,2kFemale/F41,2kFemale/F161
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,36,786,2kFemale/F139,2kFemale/F130,0,1,2kFemale/F139,2kFemale/F130,2kFemale/F827
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,37,542,2kFemale/F5,2kFemale/F738,0,1,2kFemale/F5,2kFemale/F738,2kFemale/F778
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,38,1284,2kFemale/F467,2kFemale/F856,0,2,2kFemale/F467,2kFemale/F322,2kFemale/F856
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,39,857,2kFemale/F906,2kFemale/F33,0,1,2kFemale/F906,2kFemale/F33,2kFemale/F418
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,40,1194,2kFemale/F506,2kFemale/F889,0,2,2kFemale/F506,2kFemale/F742,2kFemale/F889
1,3VD82FOHKRU4ID8XYQCQMRG5RTJOCZ,A1NQLW1UROVH81,37AQKJ12TXUZU2HNQQODGRRCUFVTTU,2,,41,1185,2kFemale/F868,2kFemale/F251,0,2,2kFemale/F868,2kFemale/F174,2kFemale/F251
