0	522,497,221	522,497,497,522	497,522,522,497	522,221,522,221	522,497,497,522	221,522,497,522	497,522,497,522	497,522,497,522	522,497,522,497	221,497,522,497	522,497,497,522
1	688,102,622	688,622,688,102	102,622,102,622	688,102,688,102	102,622,102,622	102,622,102,622	102,622,102,622	688,622,622,102	622,102,102,622	688,102,688,102	102,622,102,622
2	915,521,132	521,915,915,521	521,915,521,132	521,132,132,915	915,132,521,132	915,132,132,521	521,915,521,132	521,132,521,132	915,521,915,132	915,132,132,915	915,521,915,132
3	871,146,786	871,146,871,146	146,786,146,786	146,786,786,146	146,786,146,786	146,786,871,146	146,786,146,786	871,146,786,146	871,786,146,786	871,146,871,146	786,146,786,146
4	175,229,844	175,229,175,229	229,844,229,175	175,229,844,229	175,229,175,229	175,229,175,229	175,229,175,229	844,229,844,175	175,229,175,229	175,229,229,844	175,229,175,229
5	868,174,251	868,251,868,174	868,251,251,868	251,174,251,174	868,251,251,868	174,251,868,251	868,251,174,251	174,251,251,174	868,251,868,251	868,251,868,251	868,251,251,868
6	283,304,404	283,304,283,304	304,283,404,283	304,404,283,404	283,304,304,404	283,404,404,283	304,304,304,283	404,304,404,304	404,304,304,404	283,304,404,283	304,404,283,304
7	560,198,287	560,287,560,198	560,287,287,560	287,560,198,560	560,287,560,198	560,287,560,287	560,287,560,287	198,560,560,198	560,287,287,560	560,287,560,198	560,287,560,287
8	710,477,457	710,477,710,477	477,710,710,457	477,710,710,477	710,457,477,710	477,710,457,710	710,457,457,710	710,457,710,457	710,477,710,477	477,710,710,477	710,457,457,710
9	430,521,282	430,521,430,521	521,282,282,521	521,430,430,521	521,282,521,282	282,521,430,282	521,282,521,282	430,521,430,521	282,521,521,430	430,521,430,521	521,282,521,282
10	542,73,52	542,73,542,73	52,73,73,52	73,52,73,52	542,73,73,542	73,52,542,73	73,52,73,52	52,542,52,73	73,52,542,52	542,52,542,52	52,73,52,73
11	155,114,474	155,155,155,114	114,474,474,114	474,155,155,474	114,474,114,474	155,474,155,474	114,474,114,474	114,474,114,474	155,114,155,474	155,114,155,474	474,114,474,114
