workerCounter,assignmentId,workerId,hitId,trial type,set,global index,reaction time,response1,response2,responseLoc1,responseLoc2,stimulus1,stimulus2,stimulus3
1,3ZR9AIQJUCFGKS3Z3Q4XDS8Z0YR04I,AGFWV1U4CJXP5,3LG268AV38CKP4MYW6UNHQQT2Y7REC,1,1,5,13862,2kFemale/F19,2kFemale/F18,1,0,2kFemale/F18,2kFemale/F19,2kFemale/F16
1,3ZR9AIQJUCFGKS3Z3Q4XDS8Z0YR04I,AGFWV1U4CJXP5,3LG268AV38CKP4MYW6UNHQQT2Y7REC,1,1,11,2236,2kFemale/F10,2kFemale/F17,1,2,2kFemale/F18,2kFemale/F10,2kFemale/F17
1,3ZR9AIQJUCFGKS3Z3Q4XDS8Z0YR04I,AGFWV1U4CJXP5,3LG268AV38CKP4MYW6UNHQQT2Y7REC,1,1,12,2468,2kFemale/F16,2kFemale/F20,0,2,2kFemale/F16,2kFemale/F12,2kFemale/F20
1,3ZR9AIQJUCFGKS3Z3Q4XDS8Z0YR04I,AGFWV1U4CJXP5,3LG268AV38CKP4MYW6UNHQQT2Y7REC,2,2,14,5492,2kFemale/F332,2kFemale/F425,1,2,2kFemale/F814,2kFemale/F332,2kFemale/F425
1,3ZR9AIQJUCFGKS3Z3Q4XDS8Z0YR04I,AGFWV1U4CJXP5,3LG268AV38CKP4MYW6UNHQQT2Y7REC,2,2,15,4835,2kFemale/F287,2kFemale/F896,1,0,2kFemale/F896,2kFemale/F287,2kFemale/F282
1,3ZR9AIQJUCFGKS3Z3Q4XDS8Z0YR04I,AGFWV1U4CJXP5,3LG268AV38CKP4MYW6UNHQQT2Y7REC,2,2,16,5375,2kFemale/F938,2kFemale/F891,1,0,2kFemale/F891,2kFemale/F938,2kFemale/F817
1,3ZR9AIQJUCFGKS3Z3Q4XDS8Z0YR04I,AGFWV1U4CJXP5,3LG268AV38CKP4MYW6UNHQQT2Y7REC,2,2,17,2063,2kFemale/F644,2kFemale/F868,0,2,2kFemale/F644,2kFemale/F446,2kFemale/F868
1,3ZR9AIQJUCFGKS3Z3Q4XDS8Z0YR04I,AGFWV1U4CJXP5,3LG268AV38CKP4MYW6UNHQQT2Y7REC,2,2,18,2070,2kFemale/F887,2kFemale/F693,1,2,2kFemale/F50,2kFemale/F887,2kFemale/F693
1,3ZR9AIQJUCFGKS3Z3Q4XDS8Z0YR04I,AGFWV1U4CJXP5,3LG268AV38CKP4MYW6UNHQQT2Y7REC,2,2,19,1885,2kFemale/F116,2kFemale/F461,0,2,2kFemale/F116,2kFemale/F822,2kFemale/F461
1,3ZR9AIQJUCFGKS3Z3Q4XDS8Z0YR04I,AGFWV1U4CJXP5,3LG268AV38CKP4MYW6UNHQQT2Y7REC,2,2,20,2597,2kFemale/F380,2kFemale/F30,0,2,2kFemale/F380,2kFemale/F128,2kFemale/F30
