workerCounter,trial type,reaction time,score,stimulus1,stimulus2,set,validation
1,2,9.517,6,14,47,1,True
1,2,3.426,7,14,47,1,True
1,2,3.449,7,14,47,1,True
1,2,3.66,7,14,47,1,True
1,2,2.722,4,14,51,1,True
1,2,4.846,3,14,51,1,True
1,2,2.662,5,14,51,1,True
1,2,5.362,3,14,51,1,True
1,2,7.385,5,14,54,1,True
1,2,3.785,6,14,54,1,True
1,2,3.449,7,14,54,1,True
1,2,2.611,6,14,54,1,True
1,2,5.195,7,14,59,1,True
1,2,14.759,6,14,59,1,True
1,2,11.804,6,14,59,1,True
1,2,10.766,5,14,59,1,True
1,2,4.966,2,17,14,1,True
1,2,5.298,4,17,14,1,True
1,2,2.939,5,17,14,1,True
1,2,2.588,6,17,14,1,True
1,2,4.487,2,17,54,1,True
1,2,3.501,4,17,54,1,True
1,2,3.974,5,17,54,1,True
1,2,3.166,5,17,54,1,True
1,2,3.594,4,20,53,1,True
1,2,9.92,5,20,53,1,True
1,2,5.525,5,20,53,1,True
1,2,5.753,3,20,53,1,True
1,2,4.462,4,38,14,1,True
1,2,4.54,6,38,14,1,True
1,2,5.308,5,38,14,1,True
1,2,2.796,6,38,14,1,True
1,2,5.815,3,38,20,1,True
1,2,4.034,3,38,20,1,True
1,2,3.676,4,38,20,1,True
1,2,6.775,6,38,20,1,True
1,2,2.664,3,38,44,1,True
1,2,4.135,5,38,44,1,True
1,2,4.911,5,38,44,1,True
1,2,2.9,5,38,44,1,True
1,2,2.822,6,38,52,1,True
1,2,4.103,5,38,52,1,True
1,2,8.32,4,38,52,1,True
1,2,3.62,4,38,52,1,True
1,2,2.786,3,38,57,1,True
1,2,4.271,4,38,57,1,True
1,2,3.946,3,38,57,1,True
1,2,3.202,4,38,57,1,True
1,2,3.576,6,41,28,1,True
1,2,7.411,6,41,28,1,True
1,2,3.382,7,41,28,1,True
1,2,2.444,5,41,28,1,True
1,2,3.215,5,41,43,1,True
1,2,3.812,3,41,43,1,True
1,2,3.211,5,41,43,1,True
1,2,4.876,5,41,43,1,True
1,2,3.465,5,45,20,1,True
1,2,3.284,5,45,20,1,True
1,2,12.715,6,45,20,1,True
1,2,4.611,5,45,20,1,True
1,2,4.204,4,45,38,1,True
1,2,3.639,4,45,38,1,True
1,2,5.367,6,45,38,1,True
1,2,6.181,3,45,38,1,True
1,2,3.12,4,46,51,1,True
1,2,5.174,3,46,51,1,True
1,2,4.962,3,46,51,1,True
1,2,6.778,3,46,51,1,True
1,2,3.145,5,46,52,1,True
1,2,3.617,5,46,52,1,True
1,2,4.82,6,46,52,1,True
1,2,2.827,4,46,52,1,True
1,2,4.972,8,48,44,1,True
1,2,4.615,7,48,44,1,True
1,2,4.015,8,48,44,1,True
1,2,2.926,8,48,44,1,True
1,2,8.875,3,50,20,1,True
1,2,5.766,2,50,20,1,True
1,2,6.06,3,50,20,1,True
1,2,3.007,3,50,20,1,True
1,2,4.406,7,50,38,1,True
1,2,4.647,5,50,38,1,True
1,2,3.159,4,50,38,1,True
1,2,3.11,4,50,38,1,True
1,2,5.624,3,50,43,1,True
1,2,5.806,4,50,43,1,True
1,2,3.064,3,50,43,1,True
1,2,3.792,4,50,43,1,True
1,2,4.186,4,50,56,1,True
1,2,3.928,5,50,56,1,True
1,2,2.638,7,50,56,1,True
1,2,8.078,6,50,56,1,True
1,2,4.852,6,52,45,1,True
1,2,4.422,6,52,45,1,True
1,2,3.324,6,52,45,1,True
1,2,5.016,7,52,45,1,True
1,2,4.238,7,53,42,1,True
1,2,6.607,8,53,42,1,True
1,2,4.517,7,53,42,1,True
1,2,6.371,8,53,42,1,True
1,2,6.337,7,54,47,1,True
1,2,5.369,3,54,47,1,True
1,2,3.086,5,54,47,1,True
1,2,7.457,6,54,47,1,True
1,2,2.957,1,54,49,1,True
1,2,4.461,1,54,49,1,True
1,2,3.633,1,54,49,1,True
1,2,2.313,1,54,49,1,True
1,2,8.561,6,55,20,1,True
1,2,5.486,6,55,20,1,True
1,2,3.556,6,55,20,1,True
1,2,8.774,3,55,20,1,True
1,2,3.532,3,55,50,1,True
1,2,4.166,2,55,50,1,True
1,2,5.344,3,55,50,1,True
1,2,3.123,3,55,50,1,True
1,2,3.441,5,55,57,1,True
1,2,2.696,6,55,57,1,True
1,2,2.465,7,55,57,1,True
1,2,3.908,7,55,57,1,True
1,2,5.431,6,57,52,1,True
1,2,4.383,7,57,52,1,True
1,2,3.033,7,57,52,1,True
1,2,2.66,6,57,52,1,True
1,2,5.5,2,58,42,1,True
1,2,4.214,2,58,42,1,True
1,2,6.672,2,58,42,1,True
1,2,4.039,2,58,42,1,True
1,2,8.435,4,58,54,1,True
1,2,3.705,4,58,54,1,True
1,2,5.628,5,58,54,1,True
1,2,3.002,5,58,54,1,True
2,2,3.439,4,14,47,1,True
2,2,3.708,6,14,47,1,True
2,2,25.221,5,14,47,1,True
2,2,7.25,5,14,47,1,True
2,2,4.491,5,14,51,1,True
2,2,2.941,4,14,51,1,True
2,2,5.001,4,14,51,1,True
2,2,6.349,4,14,51,1,True
2,2,5.663,3,14,54,1,True
2,2,4.961,6,14,54,1,True
2,2,8.636,5,14,54,1,True
2,2,4.669,4,14,54,1,True
2,2,3.382,3,14,59,1,True
2,2,5.617,6,14,59,1,True
2,2,4.776,4,14,59,1,True
2,2,5.584,5,14,59,1,True
2,2,5.008,2,17,14,1,True
2,2,4.389,2,17,14,1,True
2,2,3.253,2,17,14,1,True
2,2,2.547,2,17,14,1,True
2,2,2.141,1,17,54,1,True
2,2,42.741,2,17,54,1,True
2,2,2.53,2,17,54,1,True
2,2,2.54,2,17,54,1,True
2,2,6.83,4,20,53,1,True
2,2,30.215,6,20,53,1,True
2,2,4.036,5,20,53,1,True
2,2,4.254,5,20,53,1,True
2,2,8.154,4,38,14,1,True
2,2,4.003,5,38,14,1,True
2,2,8.74,4,38,14,1,True
2,2,7.185,4,38,14,1,True
2,2,8.005,3,38,20,1,True
2,2,2.934,1,38,20,1,True
2,2,3.457,2,38,20,1,True
2,2,5.201,3,38,20,1,True
2,2,3.365,4,38,44,1,True
2,2,9.669,5,38,44,1,True
2,2,4.746,4,38,44,1,True
2,2,10.015,3,38,44,1,True
2,2,4.437,5,38,52,1,True
2,2,36.297,3,38,52,1,True
2,2,4.293,4,38,52,1,True
2,2,6.15,4,38,52,1,True
2,2,5.612,5,38,57,1,True
2,2,5.576,5,38,57,1,True
2,2,6.116,4,38,57,1,True
2,2,4.815,4,38,57,1,True
2,2,8.671,5,41,28,1,True
2,2,4.988,5,41,28,1,True
2,2,3.835,6,41,28,1,True
2,2,3.783,6,41,28,1,True
2,2,4.443,3,41,43,1,True
2,2,3.973,4,41,43,1,True
2,2,9.454,3,41,43,1,True
2,2,2.925,3,41,43,1,True
2,2,2.778,6,45,20,1,True
2,2,8.409,5,45,20,1,True
2,2,2.686,6,45,20,1,True
2,2,2.865,5,45,20,1,True
2,2,3.942,4,45,38,1,True
2,2,7.544,4,45,38,1,True
2,2,6.215,3,45,38,1,True
2,2,5.893,2,45,38,1,True
2,2,6.053,3,46,51,1,True
2,2,4.088,4,46,51,1,True
2,2,2.89,3,46,51,1,True
2,2,3.376,3,46,51,1,True
2,2,3.293,2,46,52,1,True
2,2,5.425,4,46,52,1,True
2,2,3.025,3,46,52,1,True
2,2,5.35,3,46,52,1,True
2,2,3.273,6,48,44,1,True
2,2,3.62,5,48,44,1,True
2,2,5.669,6,48,44,1,True
2,2,2.665,6,48,44,1,True
2,2,3.272,3,50,20,1,True
2,2,3.589,6,50,20,1,True
2,2,5.623,3,50,20,1,True
2,2,3.44,3,50,20,1,True
2,2,4.102,6,50,38,1,True
2,2,3.48,6,50,38,1,True
2,2,3.312,5,50,38,1,True
2,2,3.66,5,50,38,1,True
2,2,9.843,3,50,43,1,True
2,2,3.486,2,50,43,1,True
2,2,2.819,3,50,43,1,True
2,2,4.6,3,50,43,1,True
2,2,2.545,7,50,56,1,True
2,2,4.473,4,50,56,1,True
2,2,4.113,7,50,56,1,True
2,2,3.509,7,50,56,1,True
2,2,9.612,3,52,45,1,True
2,2,19.167,6,52,45,1,True
2,2,5.542,5,52,45,1,True
2,2,3.115,6,52,45,1,True
2,2,8.078,6,53,42,1,True
2,2,4.464,5,53,42,1,True
2,2,3.231,5,53,42,1,True
2,2,2.446,5,53,42,1,True
2,2,4.941,4,54,47,1,True
2,2,4.612,4,54,47,1,True
2,2,48.274,5,54,47,1,True
2,2,6.197,6,54,47,1,True
2,2,2.61,1,54,49,1,True
2,2,2.254,1,54,49,1,True
2,2,1.87,1,54,49,1,True
2,2,2.508,1,54,49,1,True
2,2,4.784,3,55,20,1,True
2,2,46.66,3,55,20,1,True
2,2,14.33,3,55,20,1,True
2,2,4.006,3,55,20,1,True
2,2,3.807,3,55,50,1,True
2,2,9.875,2,55,50,1,True
2,2,20.85,3,55,50,1,True
2,2,3.172,3,55,50,1,True
