workerCounter,trial type,reaction time,score,stimulus1,stimulus2,set,validation
2,2,4.294,5,55,57,1,True
2,2,3.852,5,55,57,1,True
2,2,3.353,6,55,57,1,True
2,2,6.063,4,55,57,1,True
2,2,3.868,6,57,52,1,True
2,2,4.164,7,57,52,1,True
2,2,2.836,6,57,52,1,True
2,2,4.629,6,57,52,1,True
2,2,3.098,2,58,42,1,True
2,2,2.934,2,58,42,1,True
2,2,5.385,2,58,42,1,True
2,2,2.562,2,58,42,1,True
2,2,4.114,4,58,54,1,True
2,2,3.258,3,58,54,1,True
2,2,4.363,3,58,54,1,True
2,2,4.835,3,58,54,1,True
3,2,3.454,6,14,47,1,True
3,2,2.689,6,14,47,1,True
3,2,3.463,6,14,47,1,True
3,2,2.49,6,14,47,1,True
3,2,6.31,5,14,51,1,True
3,2,3.318,2,14,51,1,True
3,2,5.153,2,14,51,1,True
3,2,3.073,1,14,51,1,True
3,2,17.88,6,14,54,1,True
3,2,2.652,4,14,54,1,True
3,2,3.904,5,14,54,1,True
3,2,3.728,5,14,54,1,True
3,2,3.318,5,14,59,1,True
3,2,7.957,5,14,59,1,True
3,2,5.93,3,14,59,1,True
3,2,4.768,6,14,59,1,True
3,2,2.624,1,17,14,1,True
3,2,3.729,1,17,14,1,True
3,2,2.011,1,17,14,1,True
3,2,2.087,1,17,14,1,True
3,2,3.613,1,17,54,1,True
3,2,1.765,1,17,54,1,True
3,2,2.348,1,17,54,1,True
3,2,2.092,1,17,54,1,True
3,2,5.524,3,20,53,1,True
3,2,2.922,1,20,53,1,True
3,2,3.511,3,20,53,1,True
3,2,6.663,3,20,53,1,True
3,2,4.389,3,38,14,1,True
3,2,3.823,4,38,14,1,True
3,2,13.889,4,38,14,1,True
3,2,3.661,5,38,14,1,True
3,2,2.856,1,38,20,1,True
3,2,3.078,1,38,20,1,True
3,2,1.617,1,38,20,1,True
3,2,2.793,1,38,20,1,True
3,2,4.99,3,38,44,1,True
3,2,3.138,4,38,44,1,True
3,2,3.009,3,38,44,1,True
3,2,11.716,2,38,44,1,True
3,2,5.965,7,38,52,1,True
3,2,3.338,7,38,52,1,True
3,2,6.585,8,38,52,1,True
3,2,4.584,7,38,52,1,True
3,2,7.723,5,38,57,1,True
3,2,5.862,3,38,57,1,True
3,2,4.331,5,38,57,1,True
3,2,6.764,5,38,57,1,True
3,2,4.797,5,41,28,1,True
3,2,2.964,3,41,28,1,True
3,2,3.988,3,41,28,1,True
3,2,3.869,3,41,28,1,True
3,2,3.441,2,41,43,1,True
3,2,3.266,1,41,43,1,True
3,2,6.565,4,41,43,1,True
3,2,6.069,3,41,43,1,True
3,2,5.993,5,45,20,1,True
3,2,5.546,6,45,20,1,True
3,2,4.259,6,45,20,1,True
3,2,3.709,5,45,20,1,True
3,2,6.197,1,45,38,1,True
3,2,2.316,1,45,38,1,True
3,2,3.368,2,45,38,1,True
3,2,2.593,2,45,38,1,True
3,2,2.112,1,46,51,1,True
3,2,2.533,1,46,51,1,True
3,2,2.757,1,46,51,1,True
3,2,2.533,1,46,51,1,True
3,2,4.09,1,46,52,1,True
3,2,2.078,1,46,52,1,True
3,2,4.885,1,46,52,1,True
3,2,3.905,1,46,52,1,True
3,2,7.851,4,48,44,1,True
3,2,3.581,6,48,44,1,True
3,2,5.975,7,48,44,1,True
3,2,2.971,7,48,44,1,True
3,2,3.206,1,50,20,1,True
3,2,2.198,1,50,20,1,True
3,2,2.192,1,50,20,1,True
3,2,1.918,1,50,20,1,True
3,2,4.397,5,50,38,1,True
3,2,4.209,6,50,38,1,True
3,2,3.229,7,50,38,1,True
3,2,3.202,7,50,38,1,True
3,2,2.445,1,50,43,1,True
3,2,1.702,1,50,43,1,True
3,2,2.253,1,50,43,1,True
3,2,3.339,2,50,43,1,True
3,2,5.384,6,50,56,1,True
3,2,4.472,7,50,56,1,True
3,2,4.583,6,50,56,1,True
3,2,4.835,7,50,56,1,True
3,2,3.249,5,52,45,1,True
3,2,2.401,2,52,45,1,True
3,2,7.266,2,52,45,1,True
3,2,5.623,2,52,45,1,True
3,2,10.514,5,53,42,1,True
3,2,3.72,3,53,42,1,True
3,2,5.015,6,53,42,1,True
3,2,2.484,4,53,42,1,True
3,2,12.293,3,54,47,1,True
3,2,3.684,3,54,47,1,True
3,2,2.985,2,54,47,1,True
3,2,8.551,6,54,47,1,True
3,2,2.38,1,54,49,1,True
3,2,1.954,1,54,49,1,True
3,2,1.772,1,54,49,1,True
3,2,1.721,1,54,49,1,True
3,2,3.31,1,55,20,1,True
3,2,2.958,2,55,20,1,True
3,2,3.077,3,55,20,1,True
3,2,4.34,2,55,20,1,True
3,2,1.68,1,55,50,1,True
3,2,2.05,1,55,50,1,True
3,2,1.793,1,55,50,1,True
3,2,2.349,1,55,50,1,True
3,2,3.368,3,55,57,1,True
3,2,6.632,3,55,57,1,True
3,2,4.327,6,55,57,1,True
3,2,3.251,5,55,57,1,True
3,2,4.45,7,57,52,1,True
3,2,4.278,7,57,52,1,True
3,2,8.018,6,57,52,1,True
3,2,4.535,6,57,52,1,True
3,2,3.004,1,58,42,1,True
3,2,1.931,1,58,42,1,True
3,2,2.433,1,58,42,1,True
3,2,2.852,1,58,42,1,True
3,2,2.657,3,58,54,1,True
3,2,3.811,3,58,54,1,True
3,2,3.092,5,58,54,1,True
3,2,3.96,3,58,54,1,True
4,2,2.905,6,2,11,2,True
4,2,4.429,6,2,11,2,True
4,2,2.406,7,2,11,2,True
4,2,4.844,6,2,11,2,True
4,2,7.301,6,2,19,2,True
4,2,4.658,7,2,19,2,True
4,2,4.008,8,2,19,2,True
4,2,3.243,7,2,19,2,True
4,2,4.729,4,3,9,2,True
4,2,3.928,4,3,9,2,True
4,2,3.119,6,3,9,2,True
4,2,3.53,4,3,9,2,True
4,2,3.137,8,3,15,2,True
4,2,5.087,6,3,15,2,True
4,2,3.11,7,3,15,2,True
4,2,4.309,6,3,15,2,True
4,2,3.281,7,3,17,2,True
4,2,4.102,6,3,17,2,True
4,2,3.433,7,3,17,2,True
4,2,2.184,6,3,17,2,True
4,2,3.371,6,4,18,2,True
4,2,6.398,5,4,18,2,True
4,2,3.895,5,4,18,2,True
4,2,3.71,6,4,18,2,True
4,2,3.852,7,5,1,2,True
4,2,4.059,6,5,1,2,True
4,2,5.304,8,5,1,2,True
4,2,2.987,8,5,1,2,True
4,2,3.48,6,6,7,2,True
4,2,3.529,6,6,7,2,True
4,2,3.188,6,6,7,2,True
4,2,2.301,7,6,7,2,True
4,2,2.654,6,7,9,2,True
4,2,3.003,6,7,9,2,True
4,2,3.704,6,7,9,2,True
4,2,2.116,6,7,9,2,True
4,2,3.861,7,7,16,2,True
4,2,2.576,7,7,16,2,True
4,2,3.493,7,7,16,2,True
4,2,2.503,7,7,16,2,True
4,2,3.238,6,7,20,2,True
4,2,4.901,6,7,20,2,True
4,2,2.873,6,7,20,2,True
4,2,2.0,6,7,20,2,True
4,2,3.857,6,8,18,2,True
4,2,5.284,6,8,18,2,True
4,2,3.471,7,8,18,2,True
4,2,3.674,7,8,18,2,True
4,2,4.628,8,9,20,2,True
4,2,4.911,8,9,20,2,True
4,2,2.516,7,9,20,2,True
4,2,4.908,8,9,20,2,True
4,2,3.35,4,10,25,2,True
4,2,4.159,7,10,25,2,True
4,2,4.361,4,10,25,2,True
4,2,2.111,6,10,25,2,True
4,2,4.031,6,11,5,2,True
4,2,8.769,8,11,5,2,True
4,2,5.165,8,11,5,2,True
4,2,2.761,6,11,5,2,True
4,2,5.346,2,11,21,2,True
4,2,2.693,3,11,21,2,True
4,2,5.234,5,11,21,2,True
4,2,3.435,2,11,21,2,True
4,2,3.523,5,13,3,2,True
4,2,4.688,5,13,3,2,True
4,2,9.837,5,13,3,2,True
4,2,4.107,4,13,3,2,True
4,2,2.511,4,13,17,2,True
4,2,2.976,4,13,17,2,True
4,2,3.818,4,13,17,2,True
4,2,3.853,5,13,17,2,True
4,2,2.784,7,13,20,2,True
4,2,2.332,7,13,20,2,True
4,2,4.717,8,13,20,2,True
4,2,2.337,8,13,20,2,True
4,2,2.752,5,15,6,2,True
4,2,3.335,6,15,6,2,True
4,2,3.145,4,15,6,2,True
4,2,3.422,6,15,6,2,True
4,2,5.314,5,15,11,2,True
4,2,3.687,4,15,11,2,True
4,2,3.951,4,15,11,2,True
4,2,3.441,5,15,11,2,True
4,2,7.497,7,15,12,2,True
4,2,2.631,7,15,12,2,True
4,2,6.273,4,15,12,2,True
4,2,3.742,6,15,12,2,True
4,2,3.074,4,15,24,2,True
4,2,5.907,3,15,24,2,True
4,2,3.08,4,15,24,2,True
4,2,5.01,5,15,24,2,True
4,2,2.369,6,17,1,2,True
4,2,3.679,3,17,1,2,True
4,2,2.279,2,17,1,2,True
4,2,3.867,3,17,1,2,True
4,2,3.725,3,17,5,2,True
4,2,6.114,3,17,5,2,True
4,2,2.609,3,17,5,2,True
4,2,6.912,3,17,5,2,True
4,2,4.369,7,17,16,2,True
4,2,3.123,7,17,16,2,True
4,2,2.357,7,17,16,2,True
4,2,2.857,7,17,16,2,True
4,2,7.738,3,17,22,2,True
4,2,3.887,3,17,22,2,True
4,2,2.949,4,17,22,2,True
4,2,3.718,3,17,22,2,True
4,2,4.451,5,19,17,2,True
4,2,6.751,4,19,17,2,True
4,2,4.404,3,19,17,2,True
4,2,3.819,5,19,17,2,True
4,2,4.038,5,20,2,2,True
4,2,4.241,6,20,2,2,True
4,2,2.98,7,20,2,2,True
4,2,4.856,6,20,2,2,True
4,2,5.388,6,20,24,2,True
4,2,4.21,5,20,24,2,True
4,2,2.685,7,20,24,2,True
4,2,3.816,7,20,24,2,True
4,2,5.238,4,22,11,2,True
4,2,4.293,3,22,11,2,True
4,2,3.355,4,22,11,2,True
4,2,2.317,3,22,11,2,True
4,2,3.828,5,23,12,2,True
4,2,6.122,5,23,12,2,True
4,2,3.197,3,23,12,2,True
4,2,6.985,6,23,12,2,True
4,2,2.895,8,25,18,2,True
4,2,3.287,7,25,18,2,True
4,2,2.326,6,25,18,2,True
4,2,4.674,7,25,18,2,True
5,2,2.816,1,10,11,3,True
5,2,3.0,1,10,11,3,True
5,2,2.996,1,10,11,3,True
5,2,20.523,1,10,11,3,True
5,2,3.308,5,11,33,3,True
5,2,1.904,6,11,33,3,True
5,2,17.3,4,11,33,3,True
5,2,1.996,4,11,33,3,True
5,2,2.425,5,11,38,3,True
5,2,3.084,2,11,38,3,True
5,2,5.594,5,11,38,3,True
5,2,5.305,4,11,38,3,True
5,2,5.45,5,17,10,3,True
5,2,4.306,5,17,10,3,True
5,2,2.841,5,17,10,3,True
5,2,2.69,4,17,10,3,True
5,2,2.667,4,21,17,3,True
5,2,2.247,1,21,17,3,True
5,2,2.145,1,21,17,3,True
5,2,2.667,1,21,17,3,True
5,2,6.2,1,22,11,3,True
5,2,4.973,2,22,11,3,True
5,2,2.401,2,22,11,3,True
5,2,2.215,2,22,11,3,True
5,2,3.651,3,22,28,3,True
5,2,4.068,2,22,28,3,True
5,2,2.098,2,22,28,3,True
5,2,4.515,2,22,28,3,True
5,2,2.436,1,23,17,3,True
5,2,2.181,2,23,17,3,True
5,2,2.99,2,23,17,3,True
5,2,1.909,2,23,17,3,True
5,2,5.813,6,24,20,3,True
5,2,2.822,7,24,20,3,True
5,2,3.486,6,24,20,3,True
5,2,2.196,6,24,20,3,True
5,2,2.73,5,24,39,3,True
5,2,2.493,5,24,39,3,True
5,2,3.285,4,24,39,3,True
5,2,4.474,4,24,39,3,True
5,2,4.113,4,26,17,3,True
5,2,2.569,3,26,17,3,True
5,2,2.668,2,26,17,3,True
5,2,1.741,1,26,17,3,True
5,2,4.661,4,26,31,3,True
5,2,2.848,3,26,31,3,True
5,2,3.194,3,26,31,3,True
5,2,152.596,3,26,31,3,True
5,2,2.241,1,27,10,3,True
5,2,3.133,1,27,10,3,True
5,2,2.223,1,27,10,3,True
5,2,2.626,1,27,10,3,True
5,2,2.844,5,28,37,3,True
5,2,2.95,5,28,37,3,True
5,2,3.726,4,28,37,3,True
5,2,2.932,6,28,37,3,True
5,2,2.421,2,29,30,3,True
5,2,2.056,2,29,30,3,True
5,2,3.746,2,29,30,3,True
5,2,2.194,2,29,30,3,True
5,2,3.714,8,31,25,3,True
5,2,3.63,4,31,25,3,True
5,2,2.642,3,31,25,3,True
5,2,21.526,4,31,25,3,True
5,2,2.841,4,31,29,3,True
5,2,4.386,4,31,29,3,True
5,2,2.282,4,31,29,3,True
5,2,3.147,2,31,29,3,True
5,2,2.827,4,32,24,3,True
5,2,3.381,5,32,24,3,True
5,2,5.207,3,32,24,3,True
5,2,2.478,3,32,24,3,True
5,2,4.425,6,33,28,3,True
5,2,5.019,5,33,28,3,True
5,2,2.83,3,33,28,3,True
5,2,2.189,3,33,28,3,True
5,2,2.472,5,33,38,3,True
5,2,5.852,5,33,38,3,True
5,2,4.437,2,33,38,3,True
5,2,1.927,3,33,38,3,True
5,2,8.486,8,34,28,3,True
5,2,3.875,8,34,28,3,True
5,2,3.346,4,34,28,3,True
5,2,2.696,8,34,28,3,True
5,2,20.026,5,34,35,3,True
5,2,2.564,4,34,35,3,True
5,2,3.012,4,34,35,3,True
5,2,2.488,5,34,35,3,True
5,2,3.924,6,34,37,3,True
5,2,4.201,6,34,37,3,True
5,2,2.575,5,34,37,3,True
5,2,2.251,5,34,37,3,True
5,2,3.192,5,35,14,3,True
5,2,2.287,4,35,14,3,True
5,2,2.522,3,35,14,3,True
5,2,2.537,5,35,14,3,True
5,2,2.846,1,36,20,3,True
5,2,4.792,1,36,20,3,True
5,2,1.572,1,36,20,3,True
5,2,8.998,1,36,20,3,True
5,2,2.993,1,37,10,3,True
5,2,1.715,1,37,10,3,True
5,2,2.534,1,37,10,3,True
5,2,5.458,1,37,10,3,True
5,2,3.51,1,37,17,3,True
5,2,3.771,1,37,17,3,True
5,2,2.494,1,37,17,3,True
5,2,2.543,2,37,17,3,True
5,2,2.927,3,38,22,3,True
5,2,3.023,3,38,22,3,True
5,2,3.473,2,38,22,3,True
5,2,10.907,3,38,22,3,True
5,2,3.824,6,38,25,3,True
5,2,2.92,5,38,25,3,True
5,2,2.553,5,38,25,3,True
5,2,3.667,5,38,25,3,True
5,2,2.803,2,38,32,3,True
5,2,3.709,2,38,32,3,True
5,2,2.706,2,38,32,3,True
5,2,2.559,2,38,32,3,True
5,2,2.881,7,39,33,3,True
5,2,2.945,6,39,33,3,True
5,2,2.111,4,39,33,3,True
5,2,8.201,5,39,33,3,True
5,2,2.951,1,39,36,3,True
5,2,2.87,2,39,36,3,True
5,2,1.954,1,39,36,3,True
5,2,2.25,1,39,36,3,True
5,2,2.769,4,40,24,3,True
5,2,6.13,3,40,24,3,True
5,2,3.312,4,40,24,3,True
5,2,2.339,4,40,24,3,True
6,2,2.582,2,10,11,3,True
6,2,2.859,1,10,11,3,True
6,2,1.855,1,10,11,3,True
6,2,2.409,1,10,11,3,True
6,2,3.475,6,11,33,3,True
6,2,5.503,7,11,33,3,True
6,2,2.96,8,11,33,3,True
6,2,6.567,4,11,33,3,True
6,2,3.795,7,11,38,3,True
6,2,2.574,7,11,38,3,True
6,2,2.485,8,11,38,3,True
6,2,2.572,8,11,38,3,True
6,2,5.486,8,17,10,3,True
6,2,2.845,7,17,10,3,True
6,2,4.238,8,17,10,3,True
6,2,2.344,8,17,10,3,True
6,2,2.361,1,21,17,3,True
6,2,3.108,1,21,17,3,True
6,2,2.029,1,21,17,3,True
6,2,2.028,1,21,17,3,True
6,2,5.002,5,22,11,3,True
6,2,3.329,5,22,11,3,True
6,2,3.497,4,22,11,3,True
6,2,3.845,5,22,11,3,True
6,2,3.901,6,22,28,3,True
6,2,2.597,4,22,28,3,True
6,2,5.195,5,22,28,3,True
6,2,4.261,5,22,28,3,True
6,2,4.327,1,23,17,3,True
6,2,4.379,1,23,17,3,True
6,2,2.106,1,23,17,3,True
6,2,3.316,1,23,17,3,True
6,2,4.431,7,24,20,3,True
6,2,2.885,8,24,20,3,True
6,2,2.542,8,24,20,3,True
6,2,2.831,8,24,20,3,True
6,2,3.441,7,24,39,3,True
6,2,5.593,6,24,39,3,True
6,2,2.131,7,24,39,3,True
6,2,3.077,6,24,39,3,True
6,2,2.319,1,26,17,3,True
6,2,2.44,1,26,17,3,True
6,2,1.932,1,26,17,3,True
6,2,2.171,1,26,17,3,True
6,2,4.9,7,26,31,3,True
6,2,3.812,4,26,31,3,True
6,2,2.861,5,26,31,3,True
6,2,3.182,5,26,31,3,True
6,2,2.462,1,27,10,3,True
6,2,3.833,1,27,10,3,True
6,2,4.395,1,27,10,3,True
6,2,3.937,1,27,10,3,True
6,2,4.273,6,28,37,3,True
6,2,3.076,8,28,37,3,True
6,2,2.945,7,28,37,3,True
6,2,3.412,4,28,37,3,True
6,2,6.848,6,29,30,3,True
6,2,2.647,5,29,30,3,True
6,2,2.383,7,29,30,3,True
6,2,6.216,7,29,30,3,True
6,2,7.069,8,31,25,3,True
6,2,2.672,8,31,25,3,True
6,2,5.114,8,31,25,3,True
6,2,2.724,8,31,25,3,True
6,2,3.846,6,31,29,3,True
6,2,6.05,6,31,29,3,True
6,2,6.1,6,31,29,3,True
6,2,3.595,8,31,29,3,True
6,2,2.871,5,32,24,3,True
6,2,2.949,6,32,24,3,True
6,2,2.984,7,32,24,3,True
6,2,2.658,7,32,24,3,True
6,2,3.332,3,33,28,3,True
6,2,3.571,7,33,28,3,True
6,2,3.124,6,33,28,3,True
6,2,5.4,7,33,28,3,True
6,2,3.772,3,33,38,3,True
6,2,4.612,4,33,38,3,True
6,2,2.97,4,33,38,3,True
6,2,3.583,6,33,38,3,True
6,2,3.863,8,34,28,3,True
6,2,2.904,9,34,28,3,True
6,2,2.629,9,34,28,3,True
6,2,2.507,9,34,28,3,True
6,2,3.323,6,34,35,3,True
6,2,3.544,6,34,35,3,True
6,2,3.704,6,34,35,3,True
6,2,3.54,8,34,35,3,True
6,2,9.292,7,34,37,3,True
6,2,4.512,6,34,37,3,True
6,2,5.143,5,34,37,3,True
6,2,2.989,4,34,37,3,True
6,2,3.742,5,35,14,3,True
6,2,2.969,7,35,14,3,True
6,2,3.298,6,35,14,3,True
6,2,3.35,7,35,14,3,True
6,2,7.598,3,36,20,3,True
6,2,3.676,1,36,20,3,True
6,2,3.202,2,36,20,3,True
6,2,2.574,1,36,20,3,True
6,2,2.627,1,37,10,3,True
6,2,4.651,1,37,10,3,True
6,2,2.044,1,37,10,3,True
6,2,3.046,1,37,10,3,True
6,2,2.623,1,37,17,3,True
6,2,2.246,1,37,17,3,True
6,2,2.066,1,37,17,3,True
6,2,2.126,1,37,17,3,True
6,2,7.606,6,38,22,3,True
6,2,3.066,6,38,22,3,True
6,2,3.135,4,38,22,3,True
6,2,3.451,5,38,22,3,True
6,2,3.567,6,38,25,3,True
