4.5,22.5,22.5,22.5,15.5,4.5,11.5,4.5,28.5,22.5,15.5,15.5,4.5,22.5,9.5,32.5,15.5,15.5,28.5,22.5,32.5,22.5,28.5,22.5,4.5,4.5,4.5,11.5,28.5,9.5,31,4.5,15.5
3.5,30,10,25,3.5,10,10,10,32,25,15.5,15.5,3.5,25,10,19.5,19.5,25,25,25,33,19.5,30,19.5,3.5,3.5,3.5,15.5,25,10,30,10,15.5
4,24.5,30.5,30.5,4,11.5,11.5,11.5,33,24.5,11.5,18,4,24.5,11.5,18,24.5,18,18,11.5,24.5,24.5,30.5,18,4,4,4,11.5,30.5,11.5,24.5,4,24.5
4,22.5,22.5,22.5,4,11,11,11,31.5,22.5,4,17,4,31.5,11,22.5,11,17,17,17,33,28,28,28,4,4,11,17,28,11,28,4,22.5
7.5,20.5,28,32,3.5,13.5,20.5,3.5,28,28,3.5,28,3.5,20.5,20.5,32,20.5,13.5,10,10,32,20.5,28,13.5,10,3.5,3.5,20.5,20.5,20.5,20.5,7.5,13.5
4.5,27,27,27,4.5,14.5,11,4.5,31,20.5,4.5,11,4.5,31,14.5,31,20.5,20.5,27,11,33,20.5,20.5,27,4.5,4.5,4.5,20.5,20.5,14.5,20.5,9,14.5
4.5,30,30,30,4.5,11,14,4.5,30,25,4.5,14,4.5,25,25,30,19,25,19,11,33,19,14,19,9,4.5,4.5,11,25,19,19,4.5,19
5,11.5,29,29,5,15.5,15.5,5,29,19,5,15.5,5,11.5,23,29,29,23,23,19,33,29,11.5,23,5,5,5,15.5,11.5,23,29,5,19
4,22,22,31.5,1,12,22,4,22,12,4,12,4,22,12,12,12,28.5,12,22,28.5,28.5,12,33,28.5,12,12,22,22,12,31.5,22,4
6,31.5,23,31.5,2.5,23,23,6,28,28,2.5,17,2.5,10.5,17,10.5,23,33,28,17,10.5,17,10.5,10.5,28,23,17,28,10.5,17,17,2.5,6
20,28,12.5,7,1,20,28,4,33,28,7,20,2,12.5,12.5,12.5,28,28,28,20,28,20,7,28,4,12.5,4,20,28,12.5,20,12.5,12.5
3.5,30,11,11,6.5,22,15.5,3.5,30,22,3.5,8,30,22,11,30,3.5,22,30,15.5,30,30,22,22,22,15.5,6.5,15.5,11,22,11,1,22
12,25.5,7,16.5,2.5,25.5,2.5,2.5,31,20,7,7,2.5,20,12,16.5,25.5,31,25.5,7,33,25.5,25.5,25.5,20,12,12,25.5,12,7,31,16.5,16.5
5,18.5,25.5,13.5,1.5,18.5,13.5,5,32,18.5,13.5,25.5,5,18.5,9.5,25.5,25.5,30,32,18.5,32,25.5,25.5,18.5,5,13.5,5,25.5,9.5,1.5,25.5,9.5,9.5
12,23,23,18,2,12,6.5,2,27,18,6.5,6.5,2,27,12,27,23,32.5,30.5,18,32.5,27,18,27,18,18,6.5,30.5,12,12,6.5,6.5,18
7.5,30,21,13.5,1.5,21,7.5,3.5,30,13.5,13.5,13.5,1.5,21,7.5,21,21,32.5,27,21,32.5,21,27,21,7.5,27,3.5,30,13.5,7.5,13.5,7.5,21
4.5,28.5,17,28.5,4.5,10.5,10.5,17,28.5,22.5,4.5,17,4.5,17,17,32,17,22.5,28.5,17,32,24,32,25.5,4.5,4.5,4.5,10.5,17,4.5,25.5,10.5,17
4.5,30,16,32.5,4.5,11,11,4.5,4.5,30,4.5,11,4.5,26,16,32.5,20.5,11,23,20.5,30,26,26,16,11,4.5,4.5,16,20.5,16,26,20.5,26
4.5,25,15,31.5,4.5,11,11,4.5,18,25,4.5,18,4.5,31.5,11,31.5,20.5,25,20.5,18,29,25,25,25,11,4.5,4.5,4.5,25,15,31.5,15,11
4.5,29.5,20,32.5,4.5,11,11,4.5,24,29.5,4.5,15,4.5,18,11,32.5,15,24,24,18,29.5,24,24,24,4.5,4.5,4.5,11,18,11,29.5,15,24
